"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pepT",7664.46187344556,-2.85886663844739,0.0995936858407435,-28.7053000831688,3.27622658520222e-181,5.45033054714241e-179
"ynfE",1806.7836695547,-4.25839600479296,0.148652423768997,-28.6466637867299,1.76402910763421e-180,2.82176809948103e-178
"hypD",3358.46737675927,-2.73412728230839,0.096571478422185,-28.3119542848407,2.46275214573734e-176,3.79355043485985e-174
"ynfK",4962.18510817194,-4.82641729103279,0.175935933637938,-27.4328114287623,1.11417401913486e-165,1.65494633770781e-163
"dmsA",6949.64012760209,-4.13924418736288,0.151547593057094,-27.3131635010756,2.95946618968217e-164,4.24428271823729e-162
"nikE",1947.30081756045,-3.40697958488687,0.126001103164763,-27.0392837785856,5.10551390277966e-161,7.0779441072202e-159
"rbsB",14764.439362998,-2.24203715778064,0.0832916134983412,-26.917922028552,1.35500827872011e-159,1.8178965907087e-157
"nirC",1940.70504542628,-3.10010588839721,0.117595926589592,-26.3623577644534,3.70396368067324e-153,4.813995296225e-151
"ydfZ",2987.8068776535,-3.08202478408257,0.11718891381878,-26.2996275300288,1.93661830456909e-152,2.44072591778874e-150
"pepE",7993.11796851005,-3.22440012007537,0.122737374983075,-26.2707274008426,4.14409594969307e-152,5.06920442787456e-150
"dmsC",3144.59714553094,-3.07125162910647,0.117035666798577,-26.2420141920685,8.81698289718886e-152,1.0477094819831e-149
"dhaM",4873.06654169826,-2.23322505890857,0.085486670867951,-26.1236639143215,1.96356733342448e-150,2.26846570547567e-148
"dhaK",3739.27918719749,-2.22915918231204,0.0855699791033474,-26.0507155157742,1.32046596773282e-149,1.48427512427049e-147
"ynjE",1286.40709136764,-2.77892667426286,0.108705646272241,-25.5637749239203,3.85922796496588e-144,4.2238234490245e-142
"yhcC",928.771549986572,-2.87336353353093,0.114341011873175,-25.1297717805577,2.35182385310686e-139,2.50800907822345e-137
"hypF",2458.26816297022,-2.60033257344182,0.104458370850399,-24.8934819897385,8.7532961839128e-137,9.10123970722333e-135
"tdcB",603.947935742847,-4.04151391501652,0.163092876063048,-24.7804442019537,1.45690172700824e-135,1.47786689820177e-133
"malK",2214.12577962123,-2.03943987971608,0.0826443075653267,-24.6773182545452,1.87399596096888e-134,1.85570219087371e-132
"yhjX",16352.5877589537,-2.21538253011332,0.0909428789336846,-24.3601539349637,4.52527833484888e-131,4.37689130107825e-129
"ynfF",2288.46461268048,-4.16588514724314,0.174640245344709,-23.8540958243641,9.182328957354e-126,8.67938775764439e-124
"napH",2445.47782842087,-3.6842332431774,0.15563995233873,-23.6715135658687,7.08821699419841e-124,6.55108766197138e-122
"yjdK",505.29848078002,-3.70011343924214,0.157224068588415,-23.5340140505356,1.83022165201204e-122,1.65475909798219e-120
"hydN",486.930335485108,-3.15458932948811,0.134156010019582,-23.5143347586713,2.91016486589122e-122,2.57518631430672e-120
"ygiP",906.14786463825,-2.43640630637936,0.103886493563911,-23.4525800495949,1.24415798334819e-121,1.07801105265524e-119
"nirB",20227.7452730754,-3.13705905285177,0.133924798732392,-23.4240341037975,2.4320661177075e-121,2.06427815990724e-119
"pdhR",7645.35299703823,2.92873211850757,0.128690366543632,22.7579747977064,1.19645573216338e-114,9.95211878013497e-113
"rbsK",6570.66694913381,-1.97387318944409,0.0871934335761473,-22.6378651291473,1.83728604402032e-113,1.49828875629029e-111
"gatA",588.250577139541,-4.34429910020992,0.192002560727605,-22.6262560444347,2.39058469984862e-113,1.912008032052e-111
"hypC",446.544838932716,-3.52259721328704,0.156218175516736,-22.5492149145581,1.36688586717584e-112,1.07261855124233e-110
"nikD",2048.60177431036,-3.8317285675688,0.17042789962113,-22.482988853861,6.08981424767025e-112,4.69028471408529e-110
"yhbT",6467.81922017699,-1.75687944313018,0.0786582321613151,-22.3356080457937,1.66645524917688e-110,1.26014316024121e-108
"dhaL",1755.74508091479,-2.2069862872733,0.0990360059460789,-22.2846859199362,5.2020473180096e-110,3.8634490706432e-108
